Crop_Name,Soil_Type,Rainfall_Requirement,Temperature_Range,Previous_Crop,Next_Crop,Month_Planted,Month_Harvested,Growth_Duration,Region
Rice,Black,600-1100 mm,16 - 43°C,Cotton,Jowar,June-July,September-October,137 days,Telangana
Maize,Alluvial,500-1500 mm,24 - 33°C,Bajra,Wheat,June-July,September-October,125 days,Uttar Pradesh
Jowar,Black,600-1100 mm,22 - 37°C,Cotton,Rice,March-May,June-July,163 days,Telangana
Groundnut,Black,600-1100 mm,20 - 37°C,Rice,Ragi,March-May,June-July,141 days,Karnataka
Rubber,Laterite,1500-3000 mm,21 - 43°C,Ragi,Pulses,June-July,September-October,132 days,Karnataka
Wheat,Alluvial,500-1500 mm,23 - 35°C,Mustard,Cotton,October-December,March-April,118 days,Punjab
Cashew,Laterite,1500-3000 mm,17 - 30°C,Groundnut,Sugarcane,June-July,September-October,120 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,17 - 32°C,Pulses,Sugarcane,October-December,March-April,110 days,Tamil Nadu
Groundnut,Black,600-1100 mm,26 - 41°C,Millets,Millets,June-July,September-October,105 days,Andhra Pradesh
Ragi,Red,400-1000 mm,21 - 38°C,Lentils,Barley,June-July,September-October,141 days,Uttar Pradesh
Ragi,Red,400-1000 mm,15 - 30°C,Wheat,Bajra,March-May,June-July,161 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,17 - 34°C,Pulses,Groundnut,June-July,September-October,177 days,Andhra Pradesh
Wheat,Alluvial,500-1500 mm,21 - 44°C,Bajra,Bajra,October-December,March-April,95 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,21 - 38°C,Pulses,Jowar,March-May,June-July,150 days,Karnataka
Wheat,Alluvial,500-1500 mm,26 - 36°C,Pulses,Lentils,October-December,March-April,149 days,Uttar Pradesh
Ragi,Red,400-1000 mm,19 - 41°C,Red Gram,Rice,June-July,September-October,91 days,Telangana
Groundnut,Black,600-1100 mm,26 - 40°C,Pulses,Groundnut,June-July,September-October,115 days,Andhra Pradesh
Millets,Red,400-1000 mm,29 - 31°C,Red Gram,Cotton,October-December,March-April,140 days,Telangana
Groundnut,Red,400-1000 mm,16 - 45°C,Maize,Millets,June-July,September-October,144 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,27 - 36°C,Barley,Wheat,June-July,September-October,174 days,Punjab
Jowar,Black,600-1100 mm,21 - 30°C,Ragi,Pulses,October-December,March-April,100 days,Karnataka
Maize,Alluvial,500-1500 mm,28 - 37°C,Maize,Cotton,June-July,September-October,99 days,Punjab
Jowar,Black,600-1100 mm,24 - 32°C,Pulses,Ragi,March-May,June-July,90 days,Karnataka
Rice,Black,600-1100 mm,17 - 31°C,Groundnut,Groundnut,March-May,June-July,164 days,Andhra Pradesh
Jowar,Red,400-1000 mm,23 - 37°C,Red Gram,Jowar,October-December,March-April,98 days,Telangana
Cotton,Red,400-1000 mm,29 - 33°C,Wheat,Jowar,June-July,September-October,127 days,Karnataka
Cotton,Black,600-1100 mm,15 - 33°C,Maize,Millets,March-May,June-July,109 days,Andhra Pradesh
Tea,Laterite,1500-3000 mm,26 - 30°C,Groundnut,Ragi,October-December,March-April,147 days,Karnataka
Vegetables,Alluvial,500-1500 mm,21 - 30°C,Mustard,Wheat,March-May,June-July,147 days,Punjab
Sugarcane,Alluvial,500-1500 mm,18 - 35°C,Barley,Wheat,March-May,June-July,173 days,Uttar Pradesh
Millets,Red,400-1000 mm,30 - 37°C,Pulses,Rice,March-May,June-July,127 days,Karnataka
Jowar,Red,400-1000 mm,24 - 32°C,Bengal Gram,Red Gram,March-May,June-July,180 days,Telangana
Pulses,Red,400-1000 mm,27 - 30°C,Bajra,Pulses,June-July,September-October,123 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,19 - 30°C,Maize,Cotton,March-May,June-July,170 days,Punjab
Jowar,Black,600-1100 mm,22 - 30°C,Red Gram,Rice,October-December,March-April,154 days,Telangana
Jowar,Red,400-1000 mm,22 - 42°C,Red Gram,Red Gram,June-July,September-October,111 days,Telangana
Maize,Alluvial,500-1500 mm,18 - 41°C,Rice,Barley,June-July,September-October,90 days,Punjab
Groundnut,Black,600-1100 mm,27 - 32°C,Red Gram,Red Gram,March-May,June-July,150 days,Telangana
Cashew,Laterite,1500-3000 mm,21 - 40°C,Pulses,Groundnut,October-December,March-April,174 days,Karnataka
Rice,Black,600-1100 mm,24 - 40°C,Rice,Rice,March-May,June-July,152 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,30 - 41°C,Maize,Rice,March-May,June-July,132 days,Punjab
Cotton,Red,400-1000 mm,23 - 42°C,Jowar,Groundnut,June-July,September-October,111 days,Karnataka
Groundnut,Black,600-1100 mm,20 - 42°C,Groundnut,Jowar,October-December,March-April,169 days,Karnataka
Rice,Alluvial,500-1500 mm,18 - 41°C,Bajra,Wheat,June-July,September-October,127 days,Uttar Pradesh
Maize,Alluvial,500-1500 mm,25 - 45°C,Cotton,Maize,October-December,March-April,175 days,Punjab
Cotton,Black,600-1100 mm,27 - 30°C,Pulses,Rice,October-December,March-April,114 days,Karnataka
Jowar,Red,400-1000 mm,29 - 32°C,Pulses,Groundnut,June-July,September-October,104 days,Tamil Nadu
Ragi,Red,400-1000 mm,27 - 40°C,Maize,Maize,June-July,September-October,143 days,Andhra Pradesh
Jowar,Red,400-1000 mm,28 - 31°C,Millets,Groundnut,March-May,June-July,175 days,Tamil Nadu
Ragi,Red,400-1000 mm,22 - 37°C,Ragi,Ragi,October-December,March-April,173 days,Karnataka
Rice,Alluvial,500-1500 mm,15 - 42°C,Bajra,Wheat,June-July,September-October,180 days,Uttar Pradesh
Ragi,Red,400-1000 mm,18 - 44°C,Sugarcane,Groundnut,March-May,June-July,118 days,Tamil Nadu
Sugarcane,Alluvial,500-1500 mm,18 - 32°C,Wheat,Rice,March-May,June-July,123 days,Punjab
Jowar,Black,600-1100 mm,18 - 35°C,Millets,Rice,March-May,June-July,174 days,Andhra Pradesh
Rice,Black,600-1100 mm,26 - 41°C,Jowar,Rice,June-July,September-October,91 days,Karnataka
Cashew,Laterite,1500-3000 mm,17 - 33°C,Sugarcane,Groundnut,October-December,March-April,128 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,28 - 36°C,Groundnut,Millets,March-May,June-July,129 days,Tamil Nadu
Groundnut,Black,600-1100 mm,16 - 35°C,Pulses,Jowar,October-December,March-April,176 days,Karnataka
Rice,Black,600-1100 mm,25 - 38°C,Millets,Millets,June-July,September-October,173 days,Andhra Pradesh
Maize,Alluvial,500-1500 mm,21 - 40°C,Rice,Cotton,June-July,September-October,162 days,Punjab
Jowar,Red,400-1000 mm,19 - 37°C,Wheat,Lentils,June-July,September-October,161 days,Uttar Pradesh
Pulses,Red,400-1000 mm,29 - 33°C,Bajra,Wheat,June-July,September-October,160 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,16 - 44°C,Maize,Rice,October-December,March-April,175 days,Punjab
Pulses,Red,400-1000 mm,19 - 44°C,Groundnut,Millets,October-December,March-April,147 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,23 - 42°C,Wheat,Maize,June-July,September-October,118 days,Punjab
Coffee,Laterite,1500-3000 mm,19 - 42°C,Jowar,Ragi,March-May,June-July,155 days,Karnataka
Jowar,Black,600-1100 mm,15 - 32°C,Bengal Gram,Rice,October-December,March-April,137 days,Telangana
Sugarcane,Alluvial,500-1500 mm,23 - 41°C,Rice,Rice,March-May,June-July,165 days,Punjab
Cotton,Red,400-1000 mm,29 - 40°C,Rice,Jowar,June-July,September-October,105 days,Telangana
Jowar,Black,600-1100 mm,21 - 39°C,Cotton,Bengal Gram,October-December,March-April,115 days,Telangana
Ragi,Red,400-1000 mm,21 - 31°C,Ragi,Wheat,October-December,March-April,129 days,Karnataka
Groundnut,Red,400-1000 mm,20 - 34°C,Millets,Rice,October-December,March-April,137 days,Tamil Nadu
Cashew,Laterite,1500-3000 mm,22 - 35°C,Rice,Pulses,October-December,March-April,174 days,Tamil Nadu
Ragi,Red,400-1000 mm,19 - 44°C,Ragi,Rice,March-May,June-July,124 days,Karnataka
Vegetables,Alluvial,500-1500 mm,27 - 44°C,Wheat,Wheat,March-May,June-July,171 days,Punjab
Maize,Alluvial,500-1500 mm,20 - 39°C,Barley,Bajra,June-July,September-October,155 days,Uttar Pradesh
Wheat,Alluvial,500-1500 mm,25 - 40°C,Rice,Wheat,October-December,March-April,103 days,Punjab
Jowar,Red,400-1000 mm,27 - 42°C,Pulses,Jowar,October-December,March-April,160 days,Karnataka
Maize,Alluvial,500-1500 mm,15 - 39°C,Bajra,Bajra,October-December,March-April,162 days,Uttar Pradesh
Spices,Laterite,1500-3000 mm,23 - 35°C,Pulses,Sugarcane,June-July,September-October,159 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,18 - 36°C,Millets,Millets,March-May,June-July,109 days,Tamil Nadu
Cashew,Laterite,1500-3000 mm,28 - 43°C,Millets,Groundnut,October-December,March-April,131 days,Tamil Nadu
Ragi,Red,400-1000 mm,26 - 43°C,Ragi,Ragi,October-December,March-April,141 days,Karnataka
Tea,Laterite,1500-3000 mm,16 - 43°C,Sugarcane,Groundnut,October-December,March-April,138 days,Tamil Nadu
Rice,Black,600-1100 mm,16 - 39°C,Millets,Groundnut,June-July,September-October,100 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,22 - 44°C,Groundnut,Millets,October-December,March-April,176 days,Tamil Nadu
Tea,Laterite,1500-3000 mm,26 - 30°C,Groundnut,Sugarcane,March-May,June-July,162 days,Tamil Nadu
Jowar,Red,400-1000 mm,25 - 34°C,Cotton,Red Gram,March-May,June-July,144 days,Telangana
Jowar,Black,600-1100 mm,27 - 31°C,Pulses,Rice,October-December,March-April,173 days,Andhra Pradesh
Vegetables,Alluvial,500-1500 mm,30 - 43°C,Lentils,Bajra,June-July,September-October,166 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,16 - 41°C,Barley,Pulses,October-December,March-April,146 days,Uttar Pradesh
Jowar,Black,600-1100 mm,17 - 32°C,Cotton,Jowar,October-December,March-April,171 days,Telangana
Millets,Red,400-1000 mm,22 - 43°C,Bengal Gram,Jowar,October-December,March-April,172 days,Telangana
Vegetables,Alluvial,500-1500 mm,27 - 40°C,Cotton,Mustard,March-May,June-July,127 days,Punjab
Jowar,Red,400-1000 mm,30 - 42°C,Groundnut,Millets,March-May,June-July,92 days,Tamil Nadu
Coffee,Laterite,1500-3000 mm,30 - 33°C,Jowar,Jowar,March-May,June-July,106 days,Karnataka
Ragi,Red,400-1000 mm,23 - 37°C,Pulses,Pulses,March-May,June-July,176 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,25 - 45°C,Pulses,Pulses,March-May,June-July,110 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,24 - 43°C,Mustard,Cotton,March-May,June-July,99 days,Punjab
Cotton,Black,600-1100 mm,18 - 30°C,Rice,Jowar,June-July,September-October,126 days,Telangana
Groundnut,Red,400-1000 mm,28 - 40°C,Pulses,Rice,March-May,June-July,148 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,18 - 41°C,Barley,Barley,October-December,March-April,107 days,Punjab
Pulses,Red,400-1000 mm,27 - 37°C,Pulses,Groundnut,March-May,June-July,150 days,Tamil Nadu
Rice,Black,600-1100 mm,17 - 32°C,Pulses,Pulses,June-July,September-October,177 days,Andhra Pradesh
Sugarcane,Alluvial,500-1500 mm,28 - 42°C,Cotton,Barley,October-December,March-April,155 days,Punjab
Maize,Alluvial,500-1500 mm,29 - 40°C,Mustard,Cotton,June-July,September-October,178 days,Punjab
Pulses,Red,400-1000 mm,18 - 35°C,Pulses,Lentils,March-May,June-July,96 days,Uttar Pradesh
Cotton,Red,400-1000 mm,17 - 44°C,Pulses,Groundnut,March-May,June-July,139 days,Tamil Nadu
Cotton,Red,400-1000 mm,18 - 32°C,Rice,Groundnut,June-July,September-October,101 days,Tamil Nadu
Cashew,Laterite,1500-3000 mm,16 - 44°C,Wheat,Pulses,October-December,March-April,131 days,Karnataka
Jowar,Black,600-1100 mm,17 - 39°C,Groundnut,Millets,October-December,March-April,180 days,Andhra Pradesh
Cotton,Red,400-1000 mm,15 - 37°C,Red Gram,Cotton,October-December,March-April,153 days,Telangana
Maize,Alluvial,500-1500 mm,23 - 43°C,Rice,Barley,June-July,September-October,143 days,Punjab
Rice,Black,600-1100 mm,30 - 33°C,Millets,Pulses,June-July,September-October,139 days,Andhra Pradesh
Pulses,Red,400-1000 mm,22 - 36°C,Maize,Groundnut,March-May,June-July,95 days,Andhra Pradesh
Cotton,Red,400-1000 mm,23 - 45°C,Millets,Millets,March-May,June-July,164 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,20 - 44°C,Maize,Barley,June-July,September-October,94 days,Punjab
Spices,Laterite,1500-3000 mm,30 - 34°C,Rice,Wheat,March-May,June-July,156 days,Karnataka
Jowar,Red,400-1000 mm,22 - 40°C,Jowar,Red Gram,October-December,March-April,124 days,Telangana
Cotton,Black,600-1100 mm,16 - 40°C,Rice,Pulses,March-May,June-July,126 days,Karnataka
Rice,Alluvial,500-1500 mm,20 - 40°C,Bajra,Wheat,June-July,September-October,119 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,21 - 45°C,Pulses,Rice,October-December,March-April,108 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,25 - 44°C,Pulses,Bajra,June-July,September-October,97 days,Uttar Pradesh
Jowar,Red,400-1000 mm,25 - 33°C,Rice,Bengal Gram,October-December,March-April,160 days,Telangana
Rice,Alluvial,500-1500 mm,16 - 41°C,Rice,Maize,October-December,March-April,106 days,Punjab
Rice,Black,600-1100 mm,22 - 32°C,Millets,Maize,October-December,March-April,99 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,16 - 31°C,Millets,Rice,June-July,September-October,137 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,21 - 38°C,Rice,Rice,June-July,September-October,154 days,Uttar Pradesh
Sugarcane,Black,600-1100 mm,19 - 41°C,Millets,Maize,March-May,June-July,137 days,Andhra Pradesh
Cotton,Red,400-1000 mm,16 - 32°C,Pulses,Maize,June-July,September-October,140 days,Andhra Pradesh
Sugarcane,Black,600-1100 mm,28 - 34°C,Bengal Gram,Rice,October-December,March-April,146 days,Telangana
Cotton,Red,400-1000 mm,25 - 36°C,Rice,Barley,March-May,June-July,123 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,22 - 45°C,Rice,Groundnut,June-July,September-October,121 days,Andhra Pradesh
Spices,Laterite,1500-3000 mm,28 - 35°C,Groundnut,Pulses,June-July,September-October,112 days,Tamil Nadu
Cotton,Red,400-1000 mm,18 - 32°C,Jowar,Red Gram,June-July,September-October,114 days,Telangana
Rice,Black,600-1100 mm,27 - 37°C,Jowar,Groundnut,June-July,September-October,124 days,Karnataka
Wheat,Alluvial,500-1500 mm,20 - 30°C,Barley,Mustard,October-December,March-April,98 days,Punjab
Vegetables,Alluvial,500-1500 mm,15 - 43°C,Maize,Mustard,June-July,September-October,142 days,Punjab
Millets,Red,400-1000 mm,21 - 42°C,Rice,Red Gram,June-July,September-October,171 days,Telangana
Rice,Black,600-1100 mm,26 - 39°C,Rice,Maize,June-July,September-October,170 days,Andhra Pradesh
Coffee,Laterite,1500-3000 mm,27 - 42°C,Ragi,Wheat,March-May,June-July,103 days,Karnataka
Rice,Black,600-1100 mm,22 - 31°C,Pulses,Maize,June-July,September-October,109 days,Andhra Pradesh
Cashew,Laterite,1500-3000 mm,25 - 33°C,Millets,Sugarcane,June-July,September-October,123 days,Tamil Nadu
Cashew,Laterite,1500-3000 mm,27 - 31°C,Groundnut,Groundnut,October-December,March-April,109 days,Karnataka
Jowar,Black,600-1100 mm,26 - 42°C,Groundnut,Pulses,March-May,June-July,115 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,15 - 35°C,Mustard,Barley,June-July,September-October,121 days,Punjab
Wheat,Alluvial,500-1500 mm,18 - 37°C,Wheat,Rice,October-December,March-April,165 days,Uttar Pradesh
Millets,Red,400-1000 mm,16 - 36°C,Millets,Groundnut,March-May,June-July,122 days,Andhra Pradesh
Cashew,Laterite,1500-3000 mm,24 - 34°C,Rice,Wheat,October-December,March-April,139 days,Karnataka
Pulses,Red,400-1000 mm,17 - 42°C,Rice,Millets,October-December,March-April,155 days,Andhra Pradesh
Ragi,Red,400-1000 mm,30 - 36°C,Rice,Cotton,October-December,March-April,90 days,Telangana
Tea,Laterite,1500-3000 mm,23 - 38°C,Rice,Pulses,March-May,June-July,129 days,Tamil Nadu
Wheat,Alluvial,500-1500 mm,16 - 36°C,Rice,Lentils,October-December,March-April,120 days,Uttar Pradesh
Coffee,Laterite,1500-3000 mm,18 - 44°C,Rice,Ragi,March-May,June-July,135 days,Karnataka
Sugarcane,Black,600-1100 mm,21 - 41°C,Pulses,Millets,March-May,June-July,90 days,Andhra Pradesh
Ragi,Red,400-1000 mm,15 - 42°C,Barley,Wheat,March-May,June-July,180 days,Uttar Pradesh
Jowar,Red,400-1000 mm,19 - 42°C,Cotton,Cotton,March-May,June-July,151 days,Telangana
Cotton,Black,600-1100 mm,17 - 31°C,Wheat,Pulses,March-May,June-July,147 days,Karnataka
Wheat,Alluvial,500-1500 mm,25 - 35°C,Lentils,Lentils,October-December,March-April,106 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,20 - 36°C,Bengal Gram,Red Gram,March-May,June-July,163 days,Telangana
Cotton,Black,600-1100 mm,30 - 30°C,Maize,Rice,March-May,June-July,180 days,Andhra Pradesh
Jowar,Black,600-1100 mm,22 - 43°C,Pulses,Maize,March-May,June-July,135 days,Andhra Pradesh
Rubber,Laterite,1500-3000 mm,16 - 41°C,Wheat,Jowar,October-December,March-April,131 days,Karnataka
Ragi,Red,400-1000 mm,21 - 43°C,Cotton,Rice,October-December,March-April,167 days,Telangana
Jowar,Black,600-1100 mm,30 - 38°C,Jowar,Ragi,June-July,September-October,100 days,Karnataka
Spices,Laterite,1500-3000 mm,22 - 40°C,Rice,Wheat,March-May,June-July,123 days,Karnataka
Vegetables,Alluvial,500-1500 mm,25 - 41°C,Lentils,Bajra,October-December,March-April,101 days,Uttar Pradesh
Sugarcane,Alluvial,500-1500 mm,19 - 40°C,Bajra,Rice,March-May,June-July,123 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,16 - 35°C,Groundnut,Wheat,June-July,September-October,105 days,Karnataka
Jowar,Red,400-1000 mm,17 - 39°C,Red Gram,Bengal Gram,October-December,March-April,98 days,Telangana
Cotton,Red,400-1000 mm,24 - 34°C,Bengal Gram,Cotton,June-July,September-October,156 days,Telangana
Rice,Black,600-1100 mm,27 - 44°C,Maize,Millets,June-July,September-October,104 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,15 - 40°C,Groundnut,Rice,October-December,March-April,119 days,Tamil Nadu
Rice,Alluvial,500-1500 mm,22 - 40°C,Rice,Wheat,October-December,March-April,95 days,Punjab
Millets,Red,400-1000 mm,18 - 33°C,Lentils,Wheat,June-July,September-October,121 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,22 - 38°C,Pulses,Wheat,October-December,March-April,135 days,Uttar Pradesh
Vegetables,Alluvial,500-1500 mm,15 - 32°C,Rice,Barley,March-May,June-July,160 days,Punjab
Coffee,Laterite,1500-3000 mm,16 - 41°C,Ragi,Wheat,March-May,June-July,138 days,Karnataka
Jowar,Red,400-1000 mm,26 - 39°C,Barley,Barley,June-July,September-October,142 days,Uttar Pradesh
Jowar,Red,400-1000 mm,30 - 45°C,Barley,Lentils,October-December,March-April,164 days,Uttar Pradesh
Pulses,Red,400-1000 mm,21 - 39°C,Sugarcane,Rice,October-December,March-April,118 days,Tamil Nadu
Sugarcane,Alluvial,500-1500 mm,20 - 39°C,Mustard,Wheat,March-May,June-July,172 days,Punjab
Vegetables,Alluvial,500-1500 mm,29 - 44°C,Cotton,Rice,March-May,June-July,92 days,Punjab
Groundnut,Red,400-1000 mm,22 - 40°C,Rice,Bajra,October-December,March-April,128 days,Uttar Pradesh
Jowar,Black,600-1100 mm,28 - 30°C,Rice,Red Gram,October-December,March-April,129 days,Telangana
Ragi,Red,400-1000 mm,29 - 44°C,Jowar,Red Gram,June-July,September-October,141 days,Telangana
Pulses,Red,400-1000 mm,29 - 37°C,Pulses,Groundnut,March-May,June-July,168 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,22 - 44°C,Pulses,Groundnut,October-December,March-April,142 days,Karnataka
Oilseeds,Alluvial,500-1500 mm,26 - 34°C,Barley,Pulses,March-May,June-July,110 days,Uttar Pradesh
Cashew,Laterite,1500-3000 mm,27 - 35°C,Groundnut,Groundnut,October-December,March-April,161 days,Tamil Nadu
Jowar,Black,600-1100 mm,27 - 36°C,Rice,Rice,October-December,March-April,118 days,Telangana
Sugarcane,Alluvial,500-1500 mm,20 - 45°C,Rice,Maize,March-May,June-July,148 days,Punjab
Sugarcane,Alluvial,500-1500 mm,21 - 38°C,Barley,Barley,October-December,March-April,143 days,Punjab
Rice,Black,600-1100 mm,19 - 32°C,Rice,Cotton,June-July,September-October,137 days,Telangana
Pulses,Red,400-1000 mm,27 - 39°C,Groundnut,Pulses,October-December,March-April,148 days,Andhra Pradesh
Oilseeds,Alluvial,500-1500 mm,16 - 33°C,Rice,Rice,October-December,March-April,177 days,Uttar Pradesh
Jowar,Black,600-1100 mm,26 - 30°C,Rice,Ragi,October-December,March-April,160 days,Karnataka
Cotton,Black,600-1100 mm,28 - 41°C,Groundnut,Maize,June-July,September-October,147 days,Andhra Pradesh
Jowar,Black,600-1100 mm,23 - 42°C,Cotton,Bengal Gram,October-December,March-April,165 days,Telangana
Rubber,Laterite,1500-3000 mm,26 - 42°C,Rice,Pulses,October-December,March-April,126 days,Tamil Nadu
Rubber,Laterite,1500-3000 mm,29 - 36°C,Groundnut,Groundnut,June-July,September-October,147 days,Tamil Nadu
Sugarcane,Alluvial,500-1500 mm,21 - 35°C,Bajra,Pulses,June-July,September-October,160 days,Uttar Pradesh
Groundnut,Red,400-1000 mm,26 - 30°C,Rice,Millets,October-December,March-April,136 days,Tamil Nadu
Vegetables,Alluvial,500-1500 mm,28 - 40°C,Barley,Wheat,March-May,June-July,176 days,Punjab
Wheat,Alluvial,500-1500 mm,27 - 34°C,Rice,Rice,June-July,September-October,155 days,Uttar Pradesh
Tea,Laterite,1500-3000 mm,15 - 36°C,Groundnut,Rice,March-May,June-July,170 days,Tamil Nadu
Sugarcane,Alluvial,500-1500 mm,16 - 42°C,Rice,Pulses,June-July,September-October,178 days,Uttar Pradesh
Cotton,Black,600-1100 mm,17 - 35°C,Pulses,Wheat,October-December,March-April,154 days,Karnataka
Wheat,Alluvial,500-1500 mm,22 - 35°C,Barley,Maize,June-July,September-October,157 days,Punjab
Groundnut,Red,400-1000 mm,18 - 32°C,Millets,Rice,March-May,June-July,130 days,Andhra Pradesh
Rice,Alluvial,500-1500 mm,28 - 35°C,Barley,Mustard,June-July,September-October,132 days,Punjab
Oilseeds,Alluvial,500-1500 mm,19 - 33°C,Cotton,Mustard,October-December,March-April,123 days,Punjab
Cotton,Red,400-1000 mm,17 - 31°C,Bengal Gram,Jowar,June-July,September-October,131 days,Telangana
Vegetables,Alluvial,500-1500 mm,28 - 31°C,Pulses,Wheat,June-July,September-October,127 days,Uttar Pradesh
Rice,Black,600-1100 mm,21 - 45°C,Bengal Gram,Cotton,June-July,September-October,166 days,Telangana
Maize,Alluvial,500-1500 mm,29 - 40°C,Rice,Cotton,June-July,September-October,127 days,Punjab
Maize,Alluvial,500-1500 mm,29 - 39°C,Barley,Maize,June-July,September-October,156 days,Punjab
Pulses,Red,400-1000 mm,28 - 44°C,Red Gram,Rice,March-May,June-July,160 days,Telangana
Rice,Alluvial,500-1500 mm,16 - 36°C,Bajra,Lentils,June-July,September-October,91 days,Uttar Pradesh
Groundnut,Black,600-1100 mm,24 - 43°C,Cotton,Red Gram,March-May,June-July,135 days,Telangana
Sugarcane,Black,600-1100 mm,29 - 43°C,Jowar,Rice,March-May,June-July,140 days,Telangana
Millets,Red,400-1000 mm,30 - 41°C,Bengal Gram,Rice,October-December,March-April,143 days,Telangana
Pulses,Red,400-1000 mm,28 - 39°C,Wheat,Wheat,October-December,March-April,147 days,Karnataka
Millets,Red,400-1000 mm,20 - 31°C,Pulses,Millets,October-December,March-April,137 days,Andhra Pradesh
Sugarcane,Black,600-1100 mm,17 - 41°C,Rice,Rice,March-May,June-July,108 days,Andhra Pradesh
Jowar,Red,400-1000 mm,22 - 43°C,Wheat,Jowar,March-May,June-July,124 days,Karnataka
Sugarcane,Black,600-1100 mm,29 - 30°C,Maize,Groundnut,March-May,June-July,136 days,Andhra Pradesh
Groundnut,Red,400-1000 mm,20 - 38°C,Jowar,Bengal Gram,October-December,March-April,179 days,Telangana
Millets,Red,400-1000 mm,29 - 30°C,Maize,Pulses,October-December,March-April,141 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,17 - 39°C,Cotton,Red Gram,October-December,March-April,133 days,Telangana
Sugarcane,Alluvial,500-1500 mm,19 - 34°C,Barley,Rice,March-May,June-July,129 days,Punjab
Cotton,Red,400-1000 mm,15 - 35°C,Pulses,Barley,October-December,March-April,99 days,Uttar Pradesh
Rice,Black,600-1100 mm,27 - 37°C,Bengal Gram,Jowar,June-July,September-October,141 days,Telangana
Jowar,Red,400-1000 mm,23 - 40°C,Rice,Red Gram,October-December,March-April,144 days,Telangana
Vegetables,Alluvial,500-1500 mm,25 - 45°C,Mustard,Barley,March-May,June-July,126 days,Punjab
Ragi,Red,400-1000 mm,21 - 31°C,Wheat,Groundnut,March-May,June-July,111 days,Karnataka
Pulses,Red,400-1000 mm,18 - 37°C,Sugarcane,Pulses,March-May,June-July,94 days,Tamil Nadu
Pulses,Red,400-1000 mm,23 - 36°C,Rice,Sugarcane,March-May,June-July,176 days,Tamil Nadu
Jowar,Black,600-1100 mm,21 - 42°C,Cotton,Jowar,March-May,June-July,116 days,Telangana
Cotton,Black,600-1100 mm,21 - 39°C,Cotton,Rice,October-December,March-April,136 days,Telangana
Jowar,Red,400-1000 mm,19 - 30°C,Lentils,Bajra,March-May,June-July,113 days,Uttar Pradesh
Ragi,Red,400-1000 mm,16 - 40°C,Millets,Groundnut,March-May,June-July,116 days,Tamil Nadu
Ragi,Red,400-1000 mm,22 - 34°C,Groundnut,Millets,June-July,September-October,118 days,Tamil Nadu
Maize,Alluvial,500-1500 mm,30 - 30°C,Wheat,Mustard,June-July,September-October,155 days,Punjab
Cashew,Laterite,1500-3000 mm,25 - 43°C,Rice,Pulses,March-May,June-July,155 days,Tamil Nadu
Millets,Red,400-1000 mm,29 - 37°C,Red Gram,Bengal Gram,June-July,September-October,109 days,Telangana
Maize,Alluvial,500-1500 mm,26 - 40°C,Barley,Wheat,October-December,March-April,132 days,Punjab
Jowar,Black,600-1100 mm,29 - 37°C,Maize,Millets,March-May,June-July,97 days,Andhra Pradesh
Jowar,Black,600-1100 mm,30 - 39°C,Groundnut,Ragi,March-May,June-July,94 days,Karnataka
Groundnut,Black,600-1100 mm,15 - 42°C,Maize,Groundnut,June-July,September-October,138 days,Andhra Pradesh
Millets,Red,400-1000 mm,30 - 42°C,Cotton,Red Gram,June-July,September-October,151 days,Telangana
Groundnut,Red,400-1000 mm,20 - 37°C,Sugarcane,Pulses,June-July,September-October,132 days,Tamil Nadu
Groundnut,Red,400-1000 mm,26 - 40°C,Rice,Rice,June-July,September-October,131 days,Andhra Pradesh
Millets,Red,400-1000 mm,17 - 33°C,Maize,Pulses,October-December,March-April,96 days,Andhra Pradesh
Groundnut,Black,600-1100 mm,18 - 31°C,Wheat,Ragi,June-July,September-October,173 days,Karnataka
